kolumna1;kolumna2;kolumna3;kolumna4;kolumna5;kolumna6;kolumna7;kolumna8;kolumna9;kolumna10;kolumna11;kolumna12;kolumna13;kolumna14;kolumna15;kolumna16(Class attr)
b;0,38095238095238093;0,25;u;g;q;h;0,40350877192982454;t;t;0,1044776119402985;t;g;0,15;5E-05;-
b;0,6150793650793651;0,23214285714285715;u;g;k;v;0,22070175438596493;t;t;0,22388059701492538;f;g;0;0,11202;+
b;0,6996825396825397;0,25142857142857145;u;g;m;v;0,49122807017543857;t;t;0,08955223880597014;t;g;0,18;0,01332;+
a;0,1111111111111111;0,3691071428571429;u;g;cc;h;0,011754385964912281;t;t;0,014925373134328358;t;g;0,04;0,0005;+
b;0,41539682539682543;0,22178571428571428;u;g;q;v;0,0014035087719298247;t;t;0,014925373134328358;f;g;0,1;0,003;+
b;0,18920634920634924;0,44642857142857145;u;g;cc;v;0,04245614035087719;t;t;1;t;g;0,07;0,00258;+
a;0,1746031746031746;0,44642857142857145;u;g;aa;v;0,05263157894736842;t;t;0,1791044776119403;t;g;0,06;0,00567;+
a;0,4828571428571429;0,2380357142857143;u;g;q;v;0,25877192982456143;t;t;0,04477611940298507;t;g;0;0;+
a;0,15476190476190477;0,32142857142857145;u;g;q;v;0,2982456140350877;t;t;0,07462686567164178;t;g;0,06;0;+
b;0,33603174603174607;0,17857142857142858;u;g;x;h;0,2631578947368421;t;t;0,08955223880597014;t;g;0;0,01;+
b;0,5384126984126985;0,08928571428571429;u;g;m;bb;0,08771929824561403;t;t;0,1791044776119403;t;g;0,205;0,0251;+
b;0,14285714285714285;0,39285714285714285;u;g;q;v;0,08771929824561403;t;t;0,1044776119402985;t;g;0,05;0,00809;+
b;0,3280952380952381;0,15178571428571427;u;g;i;bb;0,11403508771929824;t;t;0,029850746268656716;f;g;0,137;0,0061;+
a;0,23285714285714287;0,125;u;g;w;v;0,029298245614035087;t;f;0;f;s;0,14;0;+
b;0,8571428571428571;0,19642857142857142;u;g;e;z;0,45614035087719296;t;t;0,014925373134328358;t;g;0;0;+
b;0,1058730158730159;0,06553571428571428;u;g;c;v;0,07894736842105263;t;t;0,014925373134328358;f;g;0,05;0,0015;+
a;0,5344444444444445;0,2857142857142857;u;g;e;bb;0,22807017543859648;t;t;0,08955223880597014;f;g;0,1875;0,511;+
b;0,35714285714285715;0,17857142857142858;u;g;c;bb;0,08771929824561403;t;t;0,08955223880597014;f;g;0;0,00367;+
b;0,30031746031746037;0,19642857142857142;u;g;q;h;0,19298245614035087;t;t;0,1791044776119403;t;g;0,204;0,01;+
b;0,5528571428571428;0,23214285714285715;u;g;q;h;0,21052631578947367;t;f;0;t;g;0,175;0;+
b;0,41539682539682543;0,019285714285714288;y;p;aa;v;0,017543859649122806;t;t;0,04477611940298507;f;g;0,1;0,01;+
b;0,31476190476190474;0,09821428571428571;u;g;m;v;0,14912280701754385;t;t;0,08955223880597014;f;g;0,102;0;+
a;0,0806349206349206;0,3392857142857143;u;g;w;v;0,05701754385964912;t;t;0,08955223880597014;t;g;0,02;0,006;+
a;0,20904761904761907;0,48214285714285715;u;g;q;h;0,17543859649122806;t;t;0,029850746268656716;f;g;0;0,05;+
a;0,2777777777777778;0,13392857142857142;u;g;cc;h;0,021929824561403508;t;t;0,13432835820895522;t;g;0,0905;0;+
a;0,6785714285714286;0,5714285714285714;u;g;j;ff;0;t;t;0,22388059701492538;f;g;0;0,00247;+
b;0,4642857142857143;0,010357142857142856;y;p;cc;h;0,06140350877192982;t;t;0,11940298507462686;f;g;0,05;0,00375;+
b;0,13619047619047617;0,39285714285714285;u;g;w;v;0,07017543859649122;t;t;0,014925373134328358;f;g;0,04;0,00278;+
b;0,21428571428571427;0,05946428571428571;u;g;cc;h;0,17842105263157895;t;t;0,13432835820895522;f;g;0,1995;0,00827;+
b;0,3028571428571428;0,08928571428571429;u;g;cc;h;0,09649122807017543;t;t;0,08955223880597014;f;g;0,08;0,02072;+
b;0,15079365079365079;0,05357142857142857;u;g;q;v;0,08333333333333333;t;t;0,04477611940298507;t;g;0;0,00582;+
a;0,4219047619047619;0,2692857142857143;y;p;q;h;0,2807017543859649;t;t;0,208955223880597;f;g;0;0,023;+
a;0,26587301587301587;0,23214285714285715;u;g;c;bb;0,14035087719298245;t;t;0,1044776119402985;t;g;0;0,03065;+
a;0,6203174603174603;0,5357142857142857;u;g;c;v;0,19298245614035087;t;t;0,208955223880597;f;g;0;0,022;+
a;0,5225396825396825;0,016428571428571428;u;g;cc;h;0,01456140350877193;t;t;0,16417910447761194;t;g;0,22;6E-05;+
a;0,7076190476190476;0,35714285714285715;u;g;q;v;0,14035087719298245;t;t;0,208955223880597;f;g;0;0,01602;+
b;0,3742857142857143;0,23214285714285715;u;g;m;h;0,14912280701754385;t;t;0,1791044776119403;t;g;0,0465;0;+
b;0,14809523809523806;0,08928571428571429;u;g;c;v;0,03807017543859649;t;t;0,16417910447761194;t;g;0,03;0,02184;+
b;0,30158730158730157;0,05357142857142857;u;g;cc;h;0,19298245614035087;t;t;0,04477611940298507;t;g;0;0;+
a;0,12571428571428575;0,4107142857142857;y;p;j;j;0;t;t;0,16417910447761194;t;g;0;0;+
a;0,23412698412698413;0,10857142857142857;y;p;x;h;0,08912280701754387;t;t;0,014925373134328358;f;g;0,035;0;+
a;0,8717460317460318;0,5357142857142857;u;g;e;z;0;t;t;0,208955223880597;f;g;0;0,03376;+
b;0,2261904761904762;0,07142857142857142;u;g;k;h;0,146140350877193;t;t;0,029850746268656716;t;g;0,0905;0;+
b;0,32269841269841265;0,002857142857142857;y;p;m;bb;0,0014035087719298247;t;t;0,014925373134328358;t;g;0,14;0,02;+
b;0,22095238095238098;0,07142857142857142;u;g;x;h;0,03508771929824561;t;t;0,05970149253731343;f;g;0,07;0,07544;+
b;0,4801587301587302;0,07142857142857142;u;g;m;v;0,06140350877192982;t;t;0,029850746268656716;t;g;0;0,00015;+
b;0,1798412698412698;0,06107142857142857;u;g;x;v;0,05842105263157895;t;t;0,014925373134328358;t;g;0,1975;0,0002;+
b;0,2896825396825397;0,0625;y;p;e;h;0,0014035087719298247;t;f;0;t;g;0,1965;0;+
a;0,7433333333333333;0,5892857142857143;u;g;q;v;0,38596491228070173;t;f;0;t;g;0,0105;0,10561;+
a;0,4298412698412698;0,35714285714285715;u;g;q;h;0,06140350877192982;t;f;0;f;g;0,0145;0,00837;+
b;0,08857142857142855;0,3392857142857143;u;g;q;v;0,03508771929824561;t;f;0;t;g;0,03;0,004;+
a;0,2949206349206349;0,019285714285714288;u;g;cc;v;0,0014035087719298247;t;f;0;f;g;0,22;0,11177;+
b;0,36380952380952386;0,11607142857142858;u;g;q;h;0,3157894736842105;t;f;0;t;g;0,051;0,00639;+
b;0,376984126984127;0,04017857142857143;y;p;d;v;0,05263157894736842;f;f;0;t;g;0,2155;0;+
a;0,1798412698412698;0,09071428571428572;y;p;aa;v;0,008771929824561403;t;f;0;t;g;0,185;0;+
b;0,43777777777777777;0;u;g;c;bb;0,5263157894736842;t;f;0;f;g;0;0;+
b;0,6706349206349206;0,44642857142857145;u;g;k;h;0,2807017543859649;t;f;0;t;g;0,012;0,02028;+
a;0,5726984126984127;0,48517857142857146;u;g;k;h;0,2982456140350877;t;f;0;t;g;0;0;+
b;0,14158730158730162;0,375;u;g;q;h;0,04684210526315789;t;f;0;f;g;0,05;0;+
b;0,21031746031746032;0,05357142857142857;y;p;w;v;0,013157894736842105;t;f;0;t;g;0,13;0,01065;+
b;0,17857142857142858;0,44642857142857145;u;g;aa;v;0,10526315789473684;t;f;0;t;s;0,01;0;+
a;0,19571428571428567;0,3094642857142857;u;g;aa;v;0,04964912280701755;t;f;0;f;g;0,08;0,0015;+
a;0,07412698412698415;0,33035714285714285;u;g;q;v;0,04245614035087719;t;t;0,05970149253731343;f;g;0,03;0,0054;+
b;0,10190476190476193;0,29178571428571426;u;g;aa;v;0,0687719298245614;t;t;0,208955223880597;f;g;0,03;0,00158;+
b;0,5384126984126985;0,010357142857142856;u;g;c;bb;0,5263157894736842;t;t;0,29850746268656714;f;g;0;0,15;+
a;0,11904761904761904;0,08339285714285714;u;g;i;bb;0,017543859649122806;t;t;0,05970149253731343;f;s;0,04;0;+
a;0,10984126984126986;0,10714285714285714;u;g;q;v;0,005789473684210527;t;t;0,04477611940298507;f;g;0,05;6E-05;+
a;0,6877777777777777;0,6964285714285714;u;g;c;v;0,19298245614035087;t;t;0,1044776119402985;f;g;0;0,03;+
a;0,13761904761904764;0,20232142857142857;u;g;q;v;0,09070175438596491;t;t;0,1044776119402985;f;g;0,0645;0,03257;+
b;0,5555555555555556;0,30357142857142855;u;g;c;h;0,43859649122807015;t;t;0,13432835820895522;f;g;0,0905;0,01655;+
b;0,4166666666666667;0,23214285714285715;u;g;aa;bb;0,12280701754385964;t;t;0,014925373134328358;f;g;0;0,005;+
b;0,42587301587301585;0,17857142857142858;u;g;c;v;0,17543859649122806;t;t;0,1044776119402985;f;g;0;0,03065;+
a;0,23682539682539686;0,037142857142857144;u;g;c;v;0,08771929824561403;t;t;0,07462686567164178;t;g;0,15;0,0143;+
a;0,3068253968253968;0,16517857142857142;u;g;q;h;0,05701754385964912;t;t;0,029850746268656716;f;g;0;0;+
b;0,1203174603174603;0,375;u;g;c;v;0,10526315789473684;t;f;0;t;g;0;0;+
b;0,44841269841269843;0,007321428571428571;u;g;i;h;0,17982456140350878;t;f;0;f;g;0,2;0;+
b;0,4444444444444444;0,03428571428571429;u;g;x;v;0,08771929824561403;t;f;0;f;g;0,255;0,006;+
b;0,14158730158730162;0,056607142857142856;y;p;w;v;0,10824561403508771;t;t;0,08955223880597014;f;g;0,04;0;+
b;0,32936507936507936;0,1442857142857143;y;p;i;bb;0,2982456140350877;t;t;0,1044776119402985;t;g;0,0975;0;+
b;0,23015873015873015;0,18;y;p;c;bb;0,05263157894736842;t;t;0,11940298507462686;t;g;0,072;7E-05;+
b;0,3082539682539683;0,11303571428571428;y;p;x;v;0,11105263157894738;t;t;0,04477611940298507;t;g;0,19;0;+
b;0,5463492063492064;0,27232142857142855;u;g;w;h;0,543859649122807;t;t;0,1791044776119403;f;g;0;0,0079;+
b;0,2195238095238095;0,07285714285714286;y;p;aa;v;0,07017543859649122;t;t;0,04477611940298507;t;g;0,185;0,0056;+
b;0,14015873015873012;0,35857142857142854;u;g;x;v;0,0014035087719298247;t;t;0,13432835820895522;f;g;0,03;0,00396;+
a;0,16396825396825393;0,017857142857142856;u;g;q;h;0,043859649122807015;t;t;0,014925373134328358;f;g;0;0,00678;+
a;0,43777777777777777;0,03571428571428571;u;g;i;bb;0,07894736842105263;t;f;0;t;g;0;0,003;+
a;0,1111111111111111;0,36607142857142855;u;g;q;v;0,024912280701754386;t;t;0,029850746268656716;t;g;0,0245;0;+
b;0,3584126984126984;0,07589285714285714;y;p;w;v;0,0029824561403508773;t;t;0,014925373134328358;f;g;0,025;0,01187;+
a;0,343968253968254;0,42857142857142855;u;g;q;h;0,49122807017543857;t;t;0,11940298507462686;f;g;0;0,0659;+
b;0,23682539682539686;0,33339285714285716;u;g;q;h;0,1987719298245614;t;t;0,08955223880597014;f;g;0,1905;0,00168;+
b;0,34;0,08928571428571429;u;g;k;v;0,15789473684210525;t;t;0,1044776119402985;f;g;0,075;0,0127;+
b;0,4087301587301587;0,15178571428571427;u;g;c;bb;0,22807017543859648;t;t;0,23880597014925373;f;g;0,0585;0,0121;+
b;0,406031746031746;0,20982142857142858;u;g;cc;h;0,3508771929824561;t;t;0,208955223880597;t;g;0,1995;0;+
b;0,1679365079365079;0,23660714285714285;y;p;d;v;0,19298245614035087;t;f;0;t;s;0,05;0;+
b;0,7353968253968254;0,5178571428571429;u;g;ff;ff;0,631578947368421;t;t;0,22388059701492538;t;g;0;0,01;+
b;0,14809523809523806;0,4107142857142857;u;g;i;v;0,12280701754385964;t;t;0,13432835820895522;f;g;0,028;0,00742;+
b;0,2050793650793651;0,09678571428571428;y;p;cc;v;0,18421052631578946;t;t;0,014925373134328358;f;g;0,1055;0;+
b;0,5463492063492064;0,125;u;g;aa;v;0,12280701754385964;t;f;0;f;s;0,115;0;+
b;0,43523809523809526;0,1442857142857143;u;g;cc;h;0,24561403508771928;t;t;0,11940298507462686;f;g;0,16;0;+
b;0,6693650793650794;0,4107142857142857;u;g;ff;ff;0,17543859649122806;t;t;0,07462686567164178;f;g;0;0,08851;+
b;0,6376190476190476;0,34375;u;g;e;v;0,3040350877192982;t;t;0,07462686567164178;f;g;0;0;+
a;0,08206349206349209;0,33035714285714285;y;p;c;v;0,03508771929824561;t;t;0,05970149253731343;t;g;0,04;0,005;+
a;0,5766666666666667;0,44785714285714284;u;g;aa;v;0,08035087719298245;t;t;0,04477611940298507;t;g;0,078;0;+
b;0,8201587301587302;0,39285714285714285;u;g;e;z;0,7017543859649122;t;t;0,1044776119402985;t;g;0,011;0;+
a;0,06079365079365077;0,32142857142857145;u;g;aa;v;0,04824561403508772;t;f;0;t;g;0;0;+
a;0,0806349206349206;0,3407142857142857;u;g;aa;v;0,0029824561403508773;t;f;0;f;g;0,05;0;+
a;0,38095238095238093;0,19642857142857142;u;g;q;v;0,0043859649122807015;t;f;0;t;g;0,114;0;+
b;0,15079365079365079;0,14285714285714285;u;g;c;bb;0,008771929824561403;t;f;0;t;g;0,08;0;+
b;0,0687301587301587;0,19642857142857142;u;g;k;v;0,017543859649122806;t;f;0;f;g;0,04;0;+
a;0,1388888888888889;0,30214285714285716;y;p;x;v;0,0863157894736842;f;f;0;f;g;0,082;0;+
b;0,09396825396825399;0,013392857142857142;u;g;q;v;0,07017543859649122;t;t;0,029850746268656716;t;g;0,04;0;+
b;0,13222222222222219;0,39285714285714285;u;g;cc;v;0,023333333333333334;t;f;0;f;g;0,05;0;+
b;0,1812698412698413;0,125;u;g;cc;v;0,021929824561403508;t;t;0,1044776119402985;f;g;0;0,07059;+
a;0,5344444444444445;0,10714285714285714;u;g;x;v;0,4868421052631579;t;t;0,029850746268656716;t;g;0,2595;0,01704;+
b;0,3134920634920635;0,0625;u;g;x;h;0,15789473684210525;t;t;0,05970149253731343;t;g;0,1265;0,00857;+
b;0,22095238095238098;0,49107142857142855;u;g;w;v;0,20175438596491227;t;f;0;t;g;0,2435;0,005;+
a;0,709047619047619;0,75;u;g;i;bb;0,3508771929824561;t;t;0,19402985074626866;f;g;0;0,067;+
a;0,10984126984126986;0,06553571428571428;u;g;q;v;0,0731578947368421;t;t;0,07462686567164178;f;g;0,11;0,02503;+
b;0,19714285714285718;0,008928571428571428;u;g;i;bb;0;t;f;0;t;g;0;0;+
